地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,259729,234121,205834,183183,170531,159486,148828,136599,130154
天津市,146977,144510,128696,151778,137440,134331,116902,102922,87458
河北省,100220,94052,86861,84317,109196,93983,83469,69718,50628
山西省,90594,84761,83095,77870,64686,60160,56094,49299,38562
内蒙古自治区,104563,91272,84163,74162,67444,65420,61123,54434,45675
辽宁省,113412,106814,99280,91990,88995,83665,78751,72837,66914
吉林省,81754,82785,82963,72064,64923,63448,56439,49288,44257
黑龙江省,80673,71471,64022,65370,62707,64070,59055,55854,50042
上海市,270619,237405,232522,212063,200657,183365,170174,153989,127888
江苏省,162939,147409,144766,143002,130501,117249,102341,94616,80340
浙江省,235430,223499,190839,165532,145657,126266,114908,106946,96741
安徽省,101715,91580,84256,77304,72390,67922,62501,53755,47492
福建省,131811,124370,107642,98427,93774,84288,78734,74101,67917
江西省,95779,88865,82800,73333,71535,60353,56721,57867,44438
山东省,105284,101077,98005,89063,84346,81249,77282,74249,60459
河南省,83900,79992,79543,72373,62467,60671,52779,47671,44518
湖北省,114162,104540,105918,88774,86398,72380,64563,56715,44182
湖南省,107317,95989,96561,81785,76123,68020,58884,54344,47314
广东省,193867,175333,158044,147039,135859,126083,108465,100186,80595
广西壮族自治区,101642,107824,91934,93936,84064,76688,65285,58162,45815
海南省,146342,113936,117730,124017,105687,115013,79160,78812,67537
重庆市,137276,131356,123128,112043,100517,92958,84189,73598,70598
四川省,128891,125696,110548,95805,88800,82883,77268,69552,56506
贵州省,111635,104948,108388,91063,79355,80955,75068,64260,53384
云南省,105698,92629,85135,80497,75240,72496,62746,56193,48332
西藏自治区,142827,130430,123604,98423,103647,98675,80195,80988,36877
陕西省,160066,152088,135541,130891,121311,104928,91423,69266,56137
甘肃省,85034,80909,75412,67912,60292,54916,45628,39962,33062
青海省,125531,107050,87547,79183,71273,72527,60662,49989,54819
宁夏回族自治区,121971,104328,102816,90085,80617,77487,69067,65043,59420
新疆维吾尔自治区,108429,104606,105184,98251,84086,78238,70757,64214,54862
